RECTIFIERMODULEFAULTY(VisibleColumns3)
Severity,Raised Time,NE,NE Agent,Alarm Code,Comment,Alarm Object Name
Critical,2023-06-09 08:08:52,eMHAL01_HS_GLO(830810),MLT_GUL_OMMB1,Rectifier module failure of embedded power(198092117),"",eMHAL01_HS_GLO
Critical,2023-06-09 08:08:32,eMHAL01_HS_GLO(830810),MLT_GUL_OMMB1,Rectifier module failure of embedded power(198092117),"",eMHAL01_HS_GLO
Critical,2023-06-09 08:08:13,eKKZ220_UG(860287),KHI_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eKKZ220_UG
Critical,2023-06-09 08:06:31,eIUCT59_USFC(815298),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUCT59_USFC
Critical,2023-06-09 08:06:08,eIUSG68_USFS(851158),ISB_GUL_OMMB4,Rectifier Module faulty(198092571),"",eIUSG68_USFS
Critical,2023-06-09 08:06:01,eMMSS02_GLO_ZG(821269),MLT_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eMMSS02_GLO_ZG
Critical,2023-06-09 08:06:01,eMMSS02_GLO_ZG(821269),MLT_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eMMSS02_GLO_ZG
Critical,2023-06-09 08:05:19,eKSHR05_MHS_DWDM_IP_AGG(870239),KHI_GUL_OMMB5,Rectifier module failure of embedded power(198092117),"",eKSHR05_MHS_DWDM_IP_AGG
Critical,2023-06-09 08:04:51,eMMJR05_GLO(814863),MLT_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eMMJR05_GLO
Critical,2023-06-09 08:01:23,uMDNR39_MH(971),FSB995_ZXR05_OMMB,Rectifier module failure of embedded power(198092117),"",uMDNR39_MH
Critical,2023-06-09 08:01:19,eKKZ676_Wi-Tribe(860659),KHI_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eKKZ676_Wi-Tribe
Critical,2023-06-09 07:59:42,eKKZ325_UG(860540),KHI_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eKKZ325_UG
Critical,2023-06-09 07:58:37,eKKX464(860512),KHI_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eKKX464
Critical,2023-06-09 07:56:43,eIUHR20_USFK(841471),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUHR20_USFK
Critical,2023-06-09 07:05:15,eIUMS02_USFK(851845),PSH_GUL_OMMB1,Rectifier Module faulty(198092571),"",eIUMS02_USFK
Critical,2023-06-09 07:33:06,eIUHR19_USFK(841470),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUHR19_USFK
Critical,2023-06-09 07:56:14,eIUBU58_USFS(850949),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUBU58_USFS
Critical,2023-06-09 07:54:41,eMBUR32_UG(813838),LHR_GUL_OMMB1,Rectifier module failure of embedded power(198092117),"",eMBUR32_UG
Critical,2023-06-09 05:02:53,uFAA001_GLO(941),FSB995_ZXR04_OMMB,Rectifier module failure of embedded power(198092117),"",uFAA001_GLO
Critical,2023-06-09 04:52:05,eMJSD01_UH_GLO(820888),MLT_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eMJSD01_UH_GLO
Critical,2023-06-09 04:49:01,eMHPR13_MHS_IP_AGG_GLO(830467),LHR_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eMHPR13_MHS_IP_AGG_GLO
Critical,2023-06-09 04:35:46,eKHD111_HS_FTTT_UG(870282),KHI_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eKHD111_HS_FTTT_UG
Critical,2023-06-09 04:35:46,eKHD111_HS_FTTT_UG(870282),KHI_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eKHD111_HS_FTTT_UG
Critical,2023-06-09 04:30:57,eIUBU55_MHS_USFS(812527),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUBU55_MHS_USFS
Critical,2023-06-08 21:27:18,eMNRW01(813950),MLT_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eMNRW01
Critical,2023-06-08 21:19:55,eUNH002_E.CO_Host(814195),KHI_GUL_OMMB4,Rectifier Module faulty(198092571),"",eUNH002_E.CO_Host
Critical,2023-06-08 21:17:14,eIUSW60_USFS(851161),PSH_GUL_OMMB4,Rectifier Module faulty(198092571),"",eIUSW60_USFS
Critical,2023-06-08 21:03:20,eAKKR03_MH(841163),ISB_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eAKKR03_MH
Critical,2023-06-08 20:40:51,eMSGR68_GLO(812691),MLT_GUL_OMMB1,Rectifier module failure of embedded power(198092117),"",eMSGR68_GLO
Critical,2023-06-08 18:50:49,eATK001_HS(812885),ISB_GUL_OMMB4,Rectifier module failure of embedded power(198092117),"",eATK001_HS
Critical,2023-06-08 14:54:29,eAPA001(812750),ISB_GUL_OMMB4,Rectifier module failure of embedded power(198092117),"",eAPA001
Critical,2023-06-08 14:46:59,eMRY035_UH(830185),MLT_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eMRY035_UH
Critical,2023-06-08 14:36:42,eMKPR23_GLO(821293),MLT_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eMKPR23_GLO
Critical,2023-06-08 14:26:41,eMMGR62_HS_GLO(812668),MLT_GUL_OMMB2,Rectifier module failure of embedded power(198092117),"",eMMGR62_HS_GLO
Critical,2023-06-08 14:20:43,eKKQ485_WTH(861037),KHI_GUL_OMMB5,Rectifier module failure of embedded power(198092117),"",eKKQ485_WTH
Critical,2023-06-08 07:48:23,eIUBT08_USFK(812562),PSH_GUL_OMMB3,Rectifier Module faulty(198092571),"",eIUBT08_USFK
Critical,2023-06-08 07:46:39,eZHB012_USFZ_UMORAN(814170),KHI_GUL_OMMB4,Rectifier Module faulty(198092571),"",eZHB012_USFZ_UMORAN
Critical,2023-06-08 07:26:43,eKUBD15_USF(815960),KHI_GUL_OMMB4,Rectifier Module faulty(198092571),"",eKUBD15_USF
Critical,2023-06-08 07:14:13,eMMCR09_MH(830524),MLT_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eMMCR09_MH
Critical,2023-06-07 20:53:52,eASNG01(813179),ISB_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eASNG01
Critical,2023-06-07 14:06:02,eMUSF54_USF(814363),MLT_GUL_OMMB2,Rectifier Module faulty(198092571),"",eMUSF54_USF
Critical,2023-06-07 11:49:34,eKKQ539_Witribe_Host_GLO_ZMORAN(860347),KHI_GUL_OMMB3,Rectifier module failure of embedded power(198092117),"",eKKQ539_Witribe_Host_GLO_ZMORAN
Critical,2023-06-07 06:19:21,eKMUS55_USFT(814511),KHI_GUL_OMMB4,Rectifier Module faulty(198092571),"",eKMUS55_USFT
Critical,2023-06-06 20:23:57,eIUAB04_USFK(841349),ISB_GUL_OMMB4,Rectifier Module faulty(198092571),"",eIUAB04_USFK
